start station id,name,latitude,longitude,edge,group,groupdes
450,W 49 St & 8 Ave,40.76227205,-73.98788205,19,8,Midtown East - Midtown West
510,W 51 St & 6 Ave,40.7606597,-73.98042047,3,8,Midtown East - Midtown West
72,W 52 St & 11 Ave,40.76727216,-73.99392888,9,8,Midtown East - Midtown West
520,W 52 St & 5 Ave,40.75992262,-73.97648516,15,8,Midtown East - Midtown West
449,W 52 St & 9 Ave,40.76461837,-73.98789473,4,8,Midtown East - Midtown West
480,W 53 St & 10 Ave,40.76669671,-73.99061728,127,8,Midtown East - Midtown West
423,W 54 St & 9 Ave,40.76584941,-73.98690506,29,8,Midtown East - Midtown West
513,W 56 St & 10 Ave,40.768254,-73.988639,1,8,Midtown East - Midtown West
352,W 56 St & 6 Ave,40.76340613,-73.97722479,2,8,Midtown East - Midtown West
422,W 59 St & 10 Ave,40.770513,-73.988038,1,8,Midtown East - Midtown West
405,Washington St & Gansevoort St,40.739323,-74.008119,4,8,Midtown East - Midtown West
328,Watts St & Greenwich St,40.72405549,-74.00965965,12,8,Midtown East - Midtown West
237,E 11 St & 2 Ave,40.73047309,-73.98672378,11,9,East Village
428,E 3 St & 1 Ave,40.72467721,-73.98783413,36,9,East Village
293,Lafayette St & E 8 St,40.73028666,-73.9907647,10,9,East Village
432,E 7 St & Avenue A,40.72621788,-73.98379855,62,10,East Village - Greenwich Village
345,W 13 St & 6 Ave,40.73649403,-73.99704374,179,10,East Village - Greenwich Village
377,6 Ave & Canal St,40.72243797,-74.00566443,19,11,Midtown East - TriBeca
402,Broadway & E 22 St,40.7403432,-73.98955109,7,11,Midtown East - TriBeca
476,E 31 St & 3 Ave,40.74394314,-73.97966069,26,11,Midtown East - TriBeca
472,E 32 St & Park Ave,40.7457121,-73.98194829,28,11,Midtown East - TriBeca
147,Greenwich St & Warren St,40.71542197,-74.01121978,210,12,Greenwich Village - Soho
303,Mercer St & Spring St,40.72362738,-73.99949601,6,12,Greenwich Village - Soho
152,Warren St & Church St,40.71473993,-74.00910627,1,12,Greenwich Village - Soho
355,Bayard St & Baxter St,40.71602118,-73.99974372,1,13,Chinatown - East Village
445,E 10 St & Avenue A,40.72740794,-73.98142006,21,13,Chinatown - East Village
161,LaGuardia Pl & W 3 St,40.72917025,-73.99810231,8,14,Noho
375,Mercer St & Bleecker St,40.72679454,-73.99695094,5,14,Noho
433,E 13 St & Avenue A,40.72955361,-73.98057249,35,15,East Village - Noho
317,E 6 St & Avenue B,40.72453734,-73.98185424,6,15,East Village - Noho
229,Great Jones St,40.72743423,-73.99379025,3,15,East Village - Noho
298,3 Ave & Schermerhorn St,40.68683208,-73.9796772,9,16,"Brooklyn - Soho, Lower East Side"
270,Adelphi St & Myrtle Ave,40.69308257,-73.97178913,10,16,"Brooklyn - Soho, Lower East Side"
312,Allen St & E Houston St,40.722055,-73.989111,3,16,"Brooklyn - Soho, Lower East Side"
361,Allen St & Hester St,40.71605866,-73.99190759,3,16,"Brooklyn - Soho, Lower East Side"
401,Allen St & Rivington St,40.72019576,-73.98997825,16,16,"Brooklyn - Soho, Lower East Side"
271,Ashland Pl & Hanson Pl,40.68528172,-73.97805813,4,16,"Brooklyn - Soho, Lower East Side"
83,Atlantic Ave & Fort Greene Pl,40.68382604,-73.97632328,4,16,"Brooklyn - Soho, Lower East Side"
398,Atlantic Ave & Furman St,40.69165183,-73.9999786,3,16,"Brooklyn - Soho, Lower East Side"
443,Bedford Ave & S 9th St,40.70853074,-73.96408963,2,16,"Brooklyn - Soho, Lower East Side"
395,Bond St & Schermerhorn St,40.68807003,-73.98410637,3,16,"Brooklyn - Soho, Lower East Side"
389,Broadway & Berry St,40.71044554,-73.96525063,1,16,"Brooklyn - Soho, Lower East Side"
321,Cadman Plaza E & Red Cross Pl,40.69991755,-73.98971773,29,16,"Brooklyn - Soho, Lower East Side"
232,Cadman Plaza E & Tillary St,40.69597683,-73.99014892,2,16,"Brooklyn - Soho, Lower East Side"
314,Cadman Plaza West & Montague St,40.69383,-73.990539,85,16,"Brooklyn - Soho, Lower East Side"
307,Canal St & Rutgers St,40.71427487,-73.98990025,13,16,"Brooklyn - Soho, Lower East Side"
419,Carlton Ave & Park Ave,40.69580705,-73.97355569,1,16,"Brooklyn - Soho, Lower East Side"
387,Centre St & Chambers St,40.71273266,-74.0046073,89,16,"Brooklyn - Soho, Lower East Side"
386,Centre St & Worth St,40.71494807,-74.00234482,1,16,"Brooklyn - Soho, Lower East Side"
391,Clark St & Henry St,40.69760127,-73.99344559,7,16,"Brooklyn - Soho, Lower East Side"
420,Clermont Ave & Lafayette Ave,40.68764484,-73.96968902,1,16,"Brooklyn - Soho, Lower East Side"
421,Clermont Ave & Park Ave,40.69573398,-73.97129668,2,16,"Brooklyn - Soho, Lower East Side"
151,Cleveland Pl & Spring St,40.7218158,-73.99720307,48,16,"Brooklyn - Soho, Lower East Side"
343,Clinton Ave & Flushing Ave,40.69794,-73.96986848,51,16,"Brooklyn - Soho, Lower East Side"
366,Clinton Ave & Myrtle Ave,40.693261,-73.968896,1,16,"Brooklyn - Soho, Lower East Side"
143,Clinton St & Joralemon St,40.69239502,-73.99337909,18,16,"Brooklyn - Soho, Lower East Side"
216,Columbia Heights & Cranberry St,40.70037867,-73.99548059,1,16,"Brooklyn - Soho, Lower East Side"
278,Concord St & Bridge St,40.69766564,-73.98476437,7,16,"Brooklyn - Soho, Lower East Side"
416,Cumberland St & Lafayette Ave,40.68753406,-73.97265183,7,16,"Brooklyn - Soho, Lower East Side"
467,Dean St & 4 Ave,40.68312489,-73.97895137,4,16,"Brooklyn - Soho, Lower East Side"
324,DeKalb Ave & Hudson Ave,40.689888,-73.981013,2,16,"Brooklyn - Soho, Lower East Side"
241,DeKalb Ave & S Portland Ave,40.68981035,-73.97493121,22,16,"Brooklyn - Soho, Lower East Side"
409,DeKalb Ave & Skillman St,40.6906495,-73.95643107,7,16,"Brooklyn - Soho, Lower East Side"
258,DeKalb Ave & Vanderbilt Ave,40.68940747,-73.96885458,1,16,"Brooklyn - Soho, Lower East Side"
296,Division St & Bowery,40.71413089,-73.9970468,1,16,"Brooklyn - Soho, Lower East Side"
390,Duffield St & Willoughby St,40.69221589,-73.9842844,1,16,"Brooklyn - Soho, Lower East Side"
263,Elizabeth St & Hester St,40.71729,-73.996375,20,16,"Brooklyn - Soho, Lower East Side"
354,Emerson Pl & Myrtle Ave,40.69363137,-73.96223558,24,16,"Brooklyn - Soho, Lower East Side"
242,Flushing Ave & Carlton Ave,40.69788349,-73.97350332,1,16,"Brooklyn - Soho, Lower East Side"
531,Forsyth St & Broome St,40.71893904,-73.99266288,1,16,"Brooklyn - Soho, Lower East Side"
412,Forsyth St & Canal St,40.7158155,-73.99422366,7,16,"Brooklyn - Soho, Lower East Side"
372,Franklin Ave & Myrtle Ave,40.694528,-73.958089,1,16,"Brooklyn - Soho, Lower East Side"
418,Front St & Gold St,40.70224,-73.982578,2,16,"Brooklyn - Soho, Lower East Side"
2000,Front St & Washington St,40.70255088,-73.98940236,1,16,"Brooklyn - Soho, Lower East Side"
397,Fulton St & Clermont Ave,40.68415748,-73.96922273,8,16,"Brooklyn - Soho, Lower East Side"
365,Fulton St & Grand Ave,40.68223166,-73.9614583,2,16,"Brooklyn - Soho, Lower East Side"
243,Fulton St & Rockwell Pl,40.688226,-73.979382,1,16,"Brooklyn - Soho, Lower East Side"
384,Fulton St & Waverly Ave,40.68317813,-73.9659641,13,16,"Brooklyn - Soho, Lower East Side"
218,Gallatin Pl & Livingston St,40.69028437,-73.98707105,2,16,"Brooklyn - Soho, Lower East Side"
471,Grand St & Havemeyer St,40.71286844,-73.95698119,2,16,"Brooklyn - Soho, Lower East Side"
436,Hancock St & Bedford Ave,40.68216564,-73.95399026,1,16,"Brooklyn - Soho, Lower East Side"
431,Hanover Pl & Livingston St,40.68864636,-73.98263429,11,16,"Brooklyn - Soho, Lower East Side"
157,Henry St & Atlantic Ave,40.69089272,-73.99612349,1,16,"Brooklyn - Soho, Lower East Side"
407,Henry St & Poplar St,40.700469,-73.991454,2,16,"Brooklyn - Soho, Lower East Side"
406,Hicks St & Montague St,40.69512845,-73.99595065,2,16,"Brooklyn - Soho, Lower East Side"
268,Howard St & Centre St,40.71910537,-73.99973337,3,16,"Brooklyn - Soho, Lower East Side"
392,Jay St & Tech Pl,40.695065,-73.987167,2,16,"Brooklyn - Soho, Lower East Side"
261,Johnson St & Gold St,40.69474881,-73.98362464,4,16,"Brooklyn - Soho, Lower East Side"
